airbnb score,traffic convinence,overall score,crime
0,0.6318407960199005,0.6197693456565281,18
0.9515789473684211,0.5970149253731343,0.8494622824235103,18
0.9768421052631578,0.48258706467661694,0.832544590004272,12
0.9473684210526315,0.4527363184079602,0.7958412731655186,28
0.9936842105263158,0.6069651741293532,0.8601966933204681,20
0.9473684210526315,0.4975124378109453,0.8260746525555431,14
0.9368421052631579,0.6119402985074627,0.8472253881636032,20
0.9747368421052631,0.5621890547263682,0.855237452877864,14
0.9747368421052631,0.5323383084577115,0.8361318787500907,17
0.9515789473684211,0.5373134328358209,0.8406201563417882,14
0.8,0.5323383084577115,0.8006611294850291,14
0.9515789473684211,0.6268656716417911,0.8555306216888036,19
0.9473684210526315,0.5024875621890548,0.8273184336500704,14
0.9810526315789473,0.582089552238806,0.8562706810733876,13
0.8589473684210526,0.572139303482587,0.8183061227834263,20
0.9642105263157894,0.5771144278606966,0.8476794947843403,15
0.9473684210526315,0.42786069651741293,0.79209734623733,14
0.9473684210526315,0.4975124378109453,0.8260746525555431,14
0,0.3482587064676617,0.5340734196722455,16
0.9052631578947369,0.3383084577114428,0.7570119672415726,17
0.9936842105263158,0.527363184079602,0.8433327553367964,18
0.9873684210526316,0.43283582089552236,0.8237344831423719,10
0.9768421052631578,0.582089552238806,0.8492051110748287,20
0.903157894736842,0.4975124378109453,0.8089701881240866,19
0.9473684210526315,0.4527363184079602,0.8105546131227804,17
0.9747368421052631,0.5124378109452736,0.8372562030151759,13
0.9578947368421052,0.5024875621890548,0.829950012597439,14
0.9936842105263158,0.5522388059701493,0.8538012035398057,11
0.8947368421052632,0.5074626865671642,0.8170848811473022,13
0.9642105263157894,0.6268656716417911,0.8586885164256456,19
0.9389473684210525,0.417910447761194,0.7856120058972741,27
0.9473684210526315,0.39800995024875624,0.7739697495496936,24
0,0.5472636815920398,0.599687971237187,16
0.9136842105263158,0.40298507462686567,0.7726173454824155,20
0.9747368421052631,0.4527363184079602,0.8165342542559365,18
0.8968421052631578,0.5472636815920398,0.8252117196969904,16
0,0.5572139303482587,0.6059858240394062,12
0.9431578947368421,0.5472636815920398,0.8344495824352689,18
0.968421052631579,0.5970149253731343,0.8534970122600083,15
0.9810526315789473,0.5522388059701493,0.8509090943101743,16
0.9473684210526315,0.43781094527363185,0.7995386335673724,15
0.9221052631578947,0.5870646766169154,0.840243506300199,17
0.9873684210526316,0.5472636815920398,0.8478432986443587,16
0.9263157894736842,0.48258706467661694,0.8178109182722129,16
0.9494736842105262,0.6268656716417911,0.8558939856146324,18
0.911578947368421,0.4427860696517413,0.8054803579780208,16
0.9810526315789473,0.5124378109452736,0.8370557909529919,15
0.8926315789473684,0.4427860696517413,0.7941675416576944,19
